player_id,first_name,second_name,web_name,player_position,team_id,team_name,form,points_per_game,starts,minutes,goals_scored,assists,yellow_cards,red_cards,penalties_missed,own_goals,goals_conceded,saves,clean_sheets,penalties_saved,goals_per_90,assists_per_90,goals_conceded_per_90,saves_per_90,clean_sheets_per_90,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,ict_index,influence,creativity,threat,form_rank,form_rank_type,ict_index_rank,ict_index_rank_type,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,points_per_game_rank,points_per_game_rank_type,total_points
192,Jordan,Ayew,J.Ayew,Midfielder,11,Leicester,2.8,2.5,6,610,3,0,4,0,0,0,16,0,1,0,0.442622951,0,2.36,0,0.15,2.53,0.35,2.88,12.72,0.37,0.05,0.42,1.88,39.1,134.8,84.5,173,68,33,138,82,195,76,177,113,70,43,178,77,33
198,Odsonne,Edouard,Edouard,Forward,11,Leicester,0.2,1.2,1,141,0,0,0,0,0,0,3,0,0,0,0,0,1.91,0,0,0.39,0.07,0.46,3.72,0.25,0.04,0.29,2.37,8,5,25,50,361,41,338,35,427,41,303,34,212,35,355,36,7
285,Boubakary,Soumaré,B.Soumaré,Midfielder,11,Leicester,1.2,1,3,291,0,0,3,0,0,0,9,0,0,0,0,0,2.78,0,0,0.05,0.3,0.35,6.68,0.02,0.09,0.11,2.07,6.2,29.2,28.8,4,180,88,355,178,351,164,293,173,362,198,378,177,7
286,Tom,Cannon,Cannon,Forward,11,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,49,592,51,590,51,586,51,564,49,596,54,0
287,Hamza,Choudhury,Choudhury,Midfielder,11,Leicester,0,1,0,14,0,0,0,0,0,0,1,0,0,0,0,0,6.43,0,0,0,0,0,1.03,0,0,0,6.62,0.3,3,0,0,504,187,452,219,439,212,543,226,516,215,377,176,1
288,Conor,Coady,Coady,Defender,11,Leicester,0,0,1,97,0,0,1,0,0,0,5,0,0,0,0,0,4.64,0,0,0,0.01,0.01,3.39,0,0.01,0.01,3.15,2.8,27.4,0.8,0,392,132,396,133,355,126,417,149,406,140,475,159,0
289,Patson,Daka,Daka,Forward,11,Leicester,0.5,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.21,0.17,0,0.17,0.51,1.5,2.2,2.5,11,285,34,432,45,444,45,395,43,322,41,408,40,2
290,Bobby,De Cordova-Reid,De Cordova-Reid,Midfielder,11,Leicester,1.2,1.6,2,180,0,1,0,0,0,0,4,0,0,0,0,0.5,2,0,0,0.1,0.06,0.16,4.22,0.05,0.03,0.08,2.11,5.2,12.8,18,21,200,102,370,185,398,189,320,184,284,159,299,138,13
291,Wout,Faes,Faes,Defender,11,Leicester,0.2,1.8,13,1170,1,0,2,0,0,0,27,0,1,0,0.076923077,0,2.08,0,0.08,0.94,0.17,1.11,25.7,0.07,0.01,0.08,1.98,42.4,316.6,33.8,73,318,98,125,30,26,7,280,82,170,36,255,77,23
292,Michael,Golding,Golding,Midfielder,11,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,197,567,231,565,229,559,233,534,223,572,234,0
