season_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2022/23,272,2767,36,9,13,26,0,0,0,5,0,0,33,1390.0,371.0,1825.0,358.1,28.54,3.11,31.65,25.24
2023/24,217,2553,27,8,11,25,0,0,1,1,0,0,29,1094.6,367.2,1581.0,303.3,29.57,2.18,31.75,25.65
